month_date_yyyymm,county_fips,county_name,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_square_feet,total_listing_count,median_listing_price
202606,01053,"escambia, al",65,66.0,24,0,10.0,33.0,1916.0,98,187225.0
202606,01119,"sumter, al",17,27.0,6,0,4.0,3.0,1829.0,20,98000.0
202606,01129,"washington, al",17,91.0,6,0,4.0,6.0,1919.0,22,287000.0
202606,01025,"clarke, al",62,71.0,10,0,6.0,16.0,2126.0,78,246000.0
202606,01105,"perry, al",18,90.0,0,0,2.0,3.0,2795.0,21,188750.0
202606,01091,"marengo, al",30,72.0,6,0,6.0,4.0,2033.0,34,159950.0
202606,01087,"macon, al",36,67.0,20,0,0.0,8.0,1683.0,44,180250.0
202606,01097,"mobile, al",1307,70.0,462,8,472.0,697.0,1819.0,2002,274998.0
202606,01045,"dale, al",157,57.0,56,0,50.0,64.0,1858.0,219,244450.0
202606,01111,"randolph, al",134,78.0,30,0,42.0,35.0,2129.0,169,447500.0
202606,01125,"tuscaloosa, al",816,58.0,306,24,206.0,401.0,1949.0,1214,349900.0
202606,01117,"shelby, al",926,45.0,456,74,416.0,609.0,2415.0,1534,424950.0
202606,01061,"geneva, al",72,55.0,28,0,30.0,20.0,1988.0,91,254750.0
202606,01055,"etowah, al",333,62.0,124,0,106.0,131.0,1912.0,464,269900.0
202606,01081,"lee, al",975,56.0,342,8,344.0,150.0,2013.0,1125,412500.0
202606,01017,"chambers, al",97,51.0,34,0,34.0,42.0,1540.0,139,252675.0
202606,01039,"covington, al",191,76.0,48,0,50.0,30.0,1920.0,219,249450.0
202606,01103,"morgan, al",426,60.0,190,0,162.0,197.0,2061.0,623,304175.0
202606,01127,"walker, al",188,67.0,54,0,62.0,40.0,1910.0,227,286000.0
202606,01113,"russell, al",158,46.0,78,2,38.0,97.0,2006.0,251,289950.0
202606,01035,"conecuh, al",37,111.0,8,0,8.0,11.0,2073.0,47,224950.0
202606,01077,"lauderdale, al",399,58.0,136,4,148.0,144.0,1901.0,542,335700.0
202606,01005,"barbour, al",108,96.0,22,0,20.0,11.0,1988.0,119,279800.0
202606,01027,"clay, al",34,69.0,14,0,8.0,9.0,2372.0,43,277000.0
202606,01007,"bibb, al",41,81.0,12,0,16.0,10.0,1958.0,50,285950.0
202606,01121,"talladega, al",259,85.0,76,4,70.0,144.0,1752.0,403,253875.0
202606,01083,"limestone, al",937,66.0,314,68,282.0,421.0,2301.0,1354,391059.0
202606,01021,"chilton, al",150,70.0,54,0,44.0,49.0,1802.0,199,274975.0
202606,01033,"colbert, al",304,58.0,90,2,98.0,85.0,1884.0,388,270975.0
202606,01123,"tallapoosa, al",392,88.0,54,2,92.0,103.0,1796.0,489,540500.0
202606,01099,"monroe, al",47,79.0,16,0,8.0,7.0,2242.0,54,249750.0
202606,01041,"crenshaw, al",23,132.0,2,0,4.0,2.0,2130.0,25,222500.0
202606,01051,"elmore, al",271,61.0,120,0,96.0,196.0,2155.0,463,366899.0
202606,01043,"cullman, al",514,71.0,134,2,176.0,142.0,1986.0,654,361950.0
202606,01011,"bullock, al",8,105.0,4,0,0.0,1.0,1787.0,9,190475.0
202606,01071,"jackson, al",169,74.0,46,0,42.0,43.0,1854.0,211,301475.0
202606,01047,"dallas, al",83,78.0,20,0,24.0,35.0,1860.0,119,124925.0
202606,01049,"dekalb, al",210,70.0,70,0,56.0,61.0,1805.0,271,321175.0
202606,01003,"baldwin, al",2949,77.0,734,46,756.0,933.0,1787.0,3868,499450.0
202606,01069,"houston, al",368,59.0,118,2,158.0,162.0,2031.0,530,283900.0
202606,01079,"lawrence, al",87,72.0,24,2,34.0,24.0,2063.0,111,299900.0
202606,01109,"pike, al",100,82.0,34,0,20.0,17.0,2050.0,116,294250.0
202606,01067,"henry, al",91,63.0,22,0,28.0,29.0,2087.0,121,349500.0
202606,01013,"butler, al",33,77.0,10,0,4.0,20.0,1805.0,53,185100.0
202606,01059,"franklin, al",73,81.0,14,0,26.0,29.0,1763.0,101,226100.0
202606,01073,"jefferson, al",2475,57.0,1030,44,852.0,1410.0,1643.0,3895,242725.0
202606,01015,"calhoun, al",252,60.0,126,0,74.0,141.0,1766.0,389,221800.0
202606,01001,"autauga, al",125,46.0,78,0,50.0,114.0,2176.0,238,328700.0
202606,01029,"cleburne, al",36,80.0,10,0,12.0,14.0,1779.0,49,296500.0
202606,01131,"wilcox, al",27,96.0,4,0,2.0,8.0,2141.0,35,295475.0
202606,01107,"pickens, al",40,88.0,6,0,10.0,11.0,1876.0,51,210000.0
202606,01031,"coffee, al",265,60.0,106,0,86.0,94.0,2066.0,353,320000.0
202606,01063,"greene, al",13,85.0,2,0,2.0,4.0,2049.0,17,185000.0
202606,01095,"marshall, al",534,94.0,112,4,182.0,122.0,1961.0,656,392475.0
202606,01009,"blount, al",148,69.0,48,0,66.0,61.0,2021.0,208,323100.0
202606,01019,"cherokee, al",167,74.0,46,0,44.0,33.0,1733.0,200,372400.0
202606,01065,"hale, al",28,80.0,4,0,8.0,10.0,1981.0,37,219900.0
202606,01133,"winston, al",163,86.0,34,0,38.0,14.0,2047.0,177,501975.0
202606,01057,"fayette, al",52,77.0,16,0,10.0,10.0,1714.0,62,219900.0
202606,01101,"montgomery, al",946,66.0,358,6,332.0,431.0,1947.0,1369,233450.0
202606,01089,"madison, al",2138,61.0,874,126,818.0,1155.0,2196.0,3293,362000.0
202606,01075,"lamar, al",25,56.0,10,0,2.0,3.0,1847.0,28,144900.0
202606,01085,"lowndes, al",18,72.0,4,0,10.0,3.0,1944.0,22,185750.0
